四海公寓 四海公园旁精装改一房一厅，诚心出售,1室1厅,39.41平米,南山,300
南光城市花园 南山站 正规南向小两房 可随时看房,2室1厅,41.67平米,南山,380
金地海景花园C区 金地海景花园 小高层小户型 有电梯,1室1厅,44.82平米,福田,310
福田花园 福田花园顶楼复式 业主诚心出售 实用达到160平,6室3厅,137平米,福田,730
世纪广场 满两年精装修两房，出行方便，配套完善,2室2厅,71.59平米,南山,420
梅林一村  十二区高层南向住家三房急卖  看房方便,3室2厅,91.21平米,福田,655
益田村 益田村电梯大3房 户型方正 舒适安静,3室2厅,99.66平米,福田,780
彩福大厦 同享卓悦数百亿生活配套，实现您对美好生活的向往。,1室2厅,76平米,福田,410
鼎太风华七期 满五年精装修两房，出行方便，配套完善,2室2厅,67.31平米,南山,706
皇城广场 高层，采光，实用高，看房方便,1室1厅,55.93平米,福田,290
鼎太风华六期 高楼层可以看到后海自贸区的精装一房业主诚心,1室1厅,57.24平米,南山,600
梅林一村 十三区少有南向中空复式诚意出售  看房方便,4室2厅,117.61平米,福田,1100
三湘海尚花园一期 业主出国精装修四房，出行方便，配套完善,2室2厅,140平米,南山,1850
前海花园三期 满五年精装修三房，出行方便，配套完善,3室2厅,90平米,南山,630
香山里一期 诚心出让，和业主朋友关系，谈价有优势，看房有钥匙,3室2厅,167平米,南山,1350
创世纪滨海花园 满五年精装修出售，出行方便，配套完善,2室2厅,71.98平米,南山,590
京基滨河时代广场 好房推荐！！高层西南向海景一房，高租，可托管酒店。,1室1厅,43平米,福田,340
阳光棕榈园三期 大花园社区安静带大平台看房方便精装红本在手,3室2厅,111.82平米,南山,1100
登良花园 红本无税精装修两房，上南二外学校，近来福士购物广场,2室2厅,72.56平米,南山,500
万象新园 海滨实验学校，南山地铁，精装3房2厅2卫,3室2厅,99.98平米,南山,630
金色家园 刚需三房南向满五年的物业,3室2厅,108.31平米,福田,880
红树家邻 户型方正2室2厅,2室2厅,54.68平米,福田,375
"海印长城小区 近海岸城商圈地铁,低总价南向两房,不靠马路,诚售",2室2厅,84.57平米,南山,825
华盛领寓 高赠送 送入户加二楼房间 低于市场价,3室2厅,59.36平米,福田,660
硅谷别墅三期 6房3厅1厨5卫，上下4层端头位大别墅，带天台花园,5室3厅,335.35平米,南山,6000
海晖大厦 南北通透户型方正使用 9号线地铁满五年税费少,3室2厅,96.23平米,南山,550
全海花园 舒适宜居 居家氛围浓厚 税费少,3室2厅,92平米,福田,698
香珠花园 新出房源 2房 业主诚心卖 看房方便,2室1厅,57.31平米,福田,780
海印长城小区 海印长城大两房业主诚意出售,2室2厅,84.17平米,南山,850
美庐锦园 南向户型，标准二房、客厅出阳台、靓房真心推荐,2室2厅,84.63平米,南山,725
万科蛇口公馆 全新花园社区，全新万科精装看海4房，诚意出售！！,4室2厅,128.62平米,南山,1460
海典居 南山站 精装三房 学府中学 安静不吵 近海雅书城,3室2厅,92.09平米,南山,600
翰岭院 采光通风，非常好，看房方便，提前约,3室2厅,83.99平米,福田,620
安栢丽晶 27楼、南北通透4房、豪装、看高尔夫景、安静,4室2厅,151平米,福田,1300
阳光粤海 系统会自动在标题前加入小区名称,3室2厅,88平米,阳光粤海,960
半岛城邦一期 一线海景四房，半岛是您的品质之选！,4室2厅,147.38平米,南山,1950
中信红树湾 户型好，采光好！价格少，随时看房,4室2厅,163.59平米,南山,1900
汇景豪苑 深大 单价低，通透采光大四房，户型好适居住此房,5室2厅,176.52平米,南山,1000
宣嘉华庭 双口岸 三地铁物业 花园小区 业主诚心出售看房方便,3室2厅,100.21平米,福田,620
龙城花园大厦 满两年精装修三房，出行方便，配套完善,3室2厅,87.44平米,南山,620
天鹅堡二期 4室2厅0厨3卫 253.0m² 精致装修,4室2厅,253平米,南山,2700
